tweet_id,month,text,rating_numerator,rating_denominator,name,identifer,favorite_count,retweet_count,img_num,p1,p1_conf,p1_dog
892420643555336193,8,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13,13,10,Phineas,,33687,6968,1,Orange,0.0970486,False
892177421306343426,8,This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not,13,10,Tilly,,29220,5272,1,Chihuahua,0.323581,True
891815181378084864,7,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12,12,10,Archie,,21969,3464,1,Chihuahua,0.716012,True
891689557279858688,7,This is Darla. She commenced a snooze mid meal. 13,13,10,Darla,,36774,7190,1,Paper_Towel,0.1702779999999999,False
891327558926688256,7,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12",12,10,Franklin,,35170,7712,2,Basset,0.555712,True
891087950875897856,7,Here we have a majestic great white breaching off South Africa's coast. Absolutely h,13,10,,,17741,2584,1,Chesapeake_Bay_Retriever,0.425595,True
890971913173991426,7,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13,13,10,Jax,,10328,1646,1,Appenzeller,0.341703,True
890729181411237888,7,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13,13,10,,,56641,15674,2,Pomeranian,0.566142,True
890609185150312448,7,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13,13,10,Zoey,,24413,3603,1,Irish_Terrier,0.4875739999999999,True
890240255349198849,7,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14,14,10,Cassie,doggo,27840,6066,1,Pembroke,0.511319,True
890006608113172480,7,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13,13,10,Koda,,26932,6112,1,Samoyed,0.957979,True
889880896479866881,7,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13,13,10,Bruno,,24472,4139,1,French_Bulldog,0.377417,True
889665388333682689,7,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13,13,10,,puppo,41864,8299,1,Pembroke,0.966327,True
889638837579907072,7,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12,12,10,Ted,,23565,3699,1,French_Bulldog,0.99165,True
889531135344209921,7,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13,13,10,Stuart,puppo,13308,1873,1,Golden_Retriever,0.953442,True
